target_id,intended_target_gene_id,intended_target_entrez_gene_id,intended_target_official_full_name,intended_target_gene_name,intended_target_official_symbol,intended_target_gene_symbol,intended_target_description,intended_target_uniprot_accession_number,intended_target_organism_id,intended_target_track_status,technological_target_gene_id,technological_target_entrez_gene_id,technological_target_official_full_name,technological_target_gene_name,technological_target_official_symbol,technological_target_gene_symbol,technological_target_description,technological_target_uniprot_accession_number,technological_target_organism_id,technological_target_track_status
226,73,1436,colony stimulating factor 1 receptor,colony stimulating factor 1 receptor,CSF1R,CSF1R,\N,P07333,1,live,73,1436,colony stimulating factor 1 receptor,colony stimulating factor 1 receptor,CSF1R,CSF1R,\N,P07333,1,live
227,102,1845,dual specificity phosphatase 3,dual specificity phosphatase 3,DUSP3,DUSP3,\N,P51452,1,live,102,1845,dual specificity phosphatase 3,dual specificity phosphatase 3,DUSP3,DUSP3,\N,P51452,1,live
228,111,1991,"elastase, neutrophil expressed","elastase, neutrophil expressed",ELANE,ELANE,\N,P08246,1,live,111,1991,"elastase, neutrophil expressed","elastase, neutrophil expressed",ELANE,ELANE,\N,P08246,1,live
229,113,2041,EPH receptor A1,EPH receptor A1,EPHA1,EPHA1,\N,P21709,1,live,113,2041,EPH receptor A1,EPH receptor A1,EPHA1,EPHA1,\N,P21709,1,live
230,110,1969,EPH receptor A2,EPH receptor A2,EPHA2,EPHA2,\N,P29317,1,live,110,1969,EPH receptor A2,EPH receptor A2,EPHA2,EPHA2,\N,P29317,1,live
231,114,2047,EPH receptor B1,EPH receptor B1,EPHB1,EPHB1,\N,P54762,1,live,114,2047,EPH receptor B1,EPH receptor B1,EPHB1,EPHB1,\N,P54762,1,live
232,115,2048,EPH receptor B2,EPH receptor B2,EPHB2,EPHB2,\N,P29323,1,live,115,2048,EPH receptor B2,EPH receptor B2,EPHB2,EPHB2,\N,P29323,1,live
233,32,590,butyrylcholinesterase,butyrylcholinesterase,BCHE,BCHE,\N,P06276,1,live,32,590,butyrylcholinesterase,butyrylcholinesterase,BCHE,BCHE,\N,P06276,1,live
234,126,2260,fibroblast growth factor receptor 1,fibroblast growth factor receptor 1,FGFR1,FGFR1,\N,P11362,1,live,126,2260,fibroblast growth factor receptor 1,fibroblast growth factor receptor 1,FGFR1,FGFR1,\N,P11362,1,live
235,127,2261,fibroblast growth factor receptor 3,fibroblast growth factor receptor 3,FGFR3,FGFR3,\N,P22607,1,live,127,2261,fibroblast growth factor receptor 3,fibroblast growth factor receptor 3,FGFR3,FGFR3,\N,P22607,1,live
236,137,2534,"FYN proto-oncogene, Src family tyrosine kinase","FYN proto-oncogene, Src family tyrosine kinase",FYN,FYN,\N,P06241,1,live,137,2534,"FYN proto-oncogene, Src family tyrosine kinase","FYN proto-oncogene, Src family tyrosine kinase",FYN,FYN,\N,P06241,1,live
237,146,2932,glycogen synthase kinase 3 beta,glycogen synthase kinase 3 beta,GSK3B,GSK3B,\N,P49841,1,live,146,2932,glycogen synthase kinase 3 beta,glycogen synthase kinase 3 beta,GSK3B,GSK3B,\N,P49841,1,live
238,349,8841,histone deacetylase 3,histone deacetylase 3,HDAC3,HDAC3,\N,O15379,1,live,349,8841,histone deacetylase 3,histone deacetylase 3,HDAC3,HDAC3,\N,O15379,1,live
239,361,10013,histone deacetylase 6,histone deacetylase 6,HDAC6,HDAC6,\N,Q9UBN7,1,live,361,10013,histone deacetylase 6,histone deacetylase 6,HDAC6,HDAC6,\N,Q9UBN7,1,live
240,172,3480,insulin-like growth factor 1 receptor,insulin-like growth factor 1 receptor,IGF1R,IGF1R,\N,P08069,1,live,172,3480,insulin-like growth factor 1 receptor,insulin-like growth factor 1 receptor,IGF1R,IGF1R,\N,P08069,1,live
241,67,1147,conserved helix-loop-helix ubiquitous kinase,conserved helix-loop-helix ubiquitous kinase,CHUK,CHUK,\N,O15111,1,live,67,1147,conserved helix-loop-helix ubiquitous kinase,conserved helix-loop-helix ubiquitous kinase,CHUK,CHUK,\N,O15111,1,live
242,179,3643,insulin receptor,insulin receptor,INSR,INSR,\N,P06213,1,live,179,3643,insulin receptor,insulin receptor,INSR,INSR,\N,P06213,1,live
243,425,51135,interleukin-1 receptor-associated kinase 4,interleukin-1 receptor-associated kinase 4,IRAK4,IRAK4,\N,Q9NWZ3,1,live,425,51135,interleukin-1 receptor-associated kinase 4,interleukin-1 receptor-associated kinase 4,IRAK4,IRAK4,\N,Q9NWZ3,1,live
244,182,3717,Janus kinase 2,Janus kinase 2,JAK2,JAK2,\N,O60674,1,live,182,3717,Janus kinase 2,Janus kinase 2,JAK2,JAK2,\N,O60674,1,live
245,262,5601,mitogen-activated protein kinase 9,mitogen-activated protein kinase 9,MAPK9,MAPK9,\N,P45984,1,live,262,5601,mitogen-activated protein kinase 9,mitogen-activated protein kinase 9,MAPK9,MAPK9,\N,P45984,1,live
246,188,3932,"LCK proto-oncogene, Src family tyrosine kinase","LCK proto-oncogene, Src family tyrosine kinase",LCK,LCK,\N,P06239,1,live,188,3932,"LCK proto-oncogene, Src family tyrosine kinase","LCK proto-oncogene, Src family tyrosine kinase",LCK,LCK,\N,P06239,1,live
247,195,4067,"LYN proto-oncogene, Src family tyrosine kinase","LYN proto-oncogene, Src family tyrosine kinase",LYN,LYN,\N,P07948,1,live,195,4067,"LYN proto-oncogene, Src family tyrosine kinase","LYN proto-oncogene, Src family tyrosine kinase",LYN,LYN,\N,P07948,1,live
248,259,5594,mitogen-activated protein kinase 1,mitogen-activated protein kinase 1,MAPK1,MAPK1,\N,P28482,1,live,259,5594,mitogen-activated protein kinase 1,mitogen-activated protein kinase 1,MAPK1,MAPK1,\N,P28482,1,live
249,261,5600,mitogen-activated protein kinase 11,mitogen-activated protein kinase 11,MAPK11,MAPK11,\N,Q15759,1,live,261,5600,mitogen-activated protein kinase 11,mitogen-activated protein kinase 11,MAPK11,MAPK11,\N,Q15759,1,live
250,260,5595,mitogen-activated protein kinase 3,mitogen-activated protein kinase 3,MAPK3,MAPK3,\N,P27361,1,live,260,5595,mitogen-activated protein kinase 3,mitogen-activated protein kinase 3,MAPK3,MAPK3,\N,P27361,1,live
251,352,9261,mitogen-activated protein kinase-activated protein kinase 2,mitogen-activated protein kinase-activated protein kinase 2,MAPKAPK2,MAPKAPK2,\N,P49137,1,live,352,9261,mitogen-activated protein kinase-activated protein kinase 2,mitogen-activated protein kinase-activated protein kinase 2,MAPKAPK2,MAPKAPK2,\N,P49137,1,live
252,343,8550,mitogen-activated protein kinase-activated protein kinase 5,mitogen-activated protein kinase-activated protein kinase 5,MAPKAPK5,MAPKAPK5,\N,Q8IW41,1,live,343,8550,mitogen-activated protein kinase-activated protein kinase 5,mitogen-activated protein kinase-activated protein kinase 5,MAPKAPK5,MAPKAPK5,\N,Q8IW41,1,live
253,198,4139,MAP/microtubule affinity-regulating kinase 1,MAP/microtubule affinity-regulating kinase 1,MARK1,MARK1,\N,Q9P0L2,1,live,198,4139,MAP/microtubule affinity-regulating kinase 1,MAP/microtubule affinity-regulating kinase 1,MARK1,MARK1,\N,Q9P0L2,1,live
254,200,4233,"MET proto-oncogene, receptor tyrosine kinase","MET proto-oncogene, receptor tyrosine kinase",MET,MET,\N,P08581,1,live,200,4233,"MET proto-oncogene, receptor tyrosine kinase","MET proto-oncogene, receptor tyrosine kinase",MET,MET,\N,P08581,1,live
255,209,4322,matrix metallopeptidase 13 (collagenase 3),matrix metallopeptidase 13 (collagenase 3),MMP13,MMP13,\N,P45452,1,live,209,4322,matrix metallopeptidase 13 (collagenase 3),matrix metallopeptidase 13 (collagenase 3),MMP13,MMP13,\N,P45452,1,live
256,204,4313,"matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)","matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)",MMP2,MMP2,\N,P08253,1,live,204,4313,"matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)","matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)",MMP2,MMP2,\N,P08253,1,live
257,205,4314,"matrix metallopeptidase 3 (stromelysin 1, progelatinase)","matrix metallopeptidase 3 (stromelysin 1, progelatinase)",MMP3,MMP3,\N,P08254,1,live,205,4314,"matrix metallopeptidase 3 (stromelysin 1, progelatinase)","matrix metallopeptidase 3 (stromelysin 1, progelatinase)",MMP3,MMP3,\N,P08254,1,live
258,206,4316,"matrix metallopeptidase 7 (matrilysin, uterine)","matrix metallopeptidase 7 (matrilysin, uterine)",MMP7,MMP7,\N,P09237,1,live,206,4316,"matrix metallopeptidase 7 (matrilysin, uterine)","matrix metallopeptidase 7 (matrilysin, uterine)",MMP7,MMP7,\N,P09237,1,live
259,351,9252,"ribosomal protein S6 kinase, 90kDa, polypeptide 5","ribosomal protein S6 kinase, 90kDa, polypeptide 5",RPS6KA5,RPS6KA5,\N,O75582,1,live,351,9252,"ribosomal protein S6 kinase, 90kDa, polypeptide 5","ribosomal protein S6 kinase, 90kDa, polypeptide 5",RPS6KA5,RPS6KA5,\N,O75582,1,live
260,215,4751,NIMA-related kinase 2,NIMA-related kinase 2,NEK2,NEK2,\N,P51955,1,live,215,4751,NIMA-related kinase 2,NIMA-related kinase 2,NEK2,NEK2,\N,P51955,1,live
261,230,5062,p21 protein (Cdc42/Rac)-activated kinase 2,p21 protein (Cdc42/Rac)-activated kinase 2,PAK2,PAK2,\N,Q13177,1,live,230,5062,p21 protein (Cdc42/Rac)-activated kinase 2,p21 protein (Cdc42/Rac)-activated kinase 2,PAK2,PAK2,\N,Q13177,1,live
262,364,10298,p21 protein (Cdc42/Rac)-activated kinase 4,p21 protein (Cdc42/Rac)-activated kinase 4,PAK4,PAK4,\N,O96013,1,live,364,10298,p21 protein (Cdc42/Rac)-activated kinase 4,p21 protein (Cdc42/Rac)-activated kinase 4,PAK4,PAK4,\N,O96013,1,live
263,368,10846,phosphodiesterase 10A,phosphodiesterase 10A,PDE10A,PDE10A,\N,Q9Y233,1,live,368,10846,phosphodiesterase 10A,phosphodiesterase 10A,PDE10A,PDE10A,\N,Q9Y233,1,live
264,232,5141,"phosphodiesterase 4A, cAMP-specific","phosphodiesterase 4A, cAMP-specific",PDE4A,PDE4A,\N,P27815,1,live,232,5141,"phosphodiesterase 4A, cAMP-specific","phosphodiesterase 4A, cAMP-specific",PDE4A,PDE4A,\N,P27815,1,live
265,346,8654,"phosphodiesterase 5A, cGMP-specific","phosphodiesterase 5A, cGMP-specific",PDE5A,PDE5A,\N,O76074,1,live,346,8654,"phosphodiesterase 5A, cGMP-specific","phosphodiesterase 5A, cGMP-specific",PDE5A,PDE5A,\N,O76074,1,live
266,237,5290,"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha","phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha",PIK3CA,PIK3CA,\N,P42336,1,live,237,5290,"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha","phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha",PIK3CA,PIK3CA,\N,P42336,1,live
267,256,5566,"protein kinase, cAMP-dependent, catalytic, alpha","protein kinase, cAMP-dependent, catalytic, alpha",PRKACA,PRKACA,\N,P17612,1,live,256,5566,"protein kinase, cAMP-dependent, catalytic, alpha","protein kinase, cAMP-dependent, catalytic, alpha",PRKACA,PRKACA,\N,P17612,1,live
268,258,5590,"protein kinase C, zeta","protein kinase C, zeta",PRKCZ,PRKCZ,\N,Q05513,1,live,258,5590,"protein kinase C, zeta","protein kinase C, zeta",PRKCZ,PRKCZ,\N,Q05513,1,live
269,416,25865,protein kinase D2,protein kinase D2,PRKD2,PRKD2,\N,Q9BZL6,1,live,416,25865,protein kinase D2,protein kinase D2,PRKD2,PRKD2,\N,Q9BZL6,1,live
270,251,5494,"protein phosphatase, Mg2+/Mn2+ dependent, 1A","protein phosphatase, Mg2+/Mn2+ dependent, 1A",PPM1A,PPM1A,\N,P35813,1,live,251,5494,"protein phosphatase, Mg2+/Mn2+ dependent, 1A","protein phosphatase, Mg2+/Mn2+ dependent, 1A",PPM1A,PPM1A,\N,P35813,1,live
271,252,5499,"protein phosphatase 1, catalytic subunit, alpha isozyme","protein phosphatase 1, catalytic subunit, alpha isozyme",PPP1CA,PPP1CA,\N,P62136,1,live,252,5499,"protein phosphatase 1, catalytic subunit, alpha isozyme","protein phosphatase 1, catalytic subunit, alpha isozyme",PPP1CA,PPP1CA,\N,P62136,1,live
272,253,5515,"protein phosphatase 2, catalytic subunit, alpha isozyme","protein phosphatase 2, catalytic subunit, alpha isozyme",PPP2CA,PPP2CA,\N,P67775,1,live,253,5515,"protein phosphatase 2, catalytic subunit, alpha isozyme","protein phosphatase 2, catalytic subunit, alpha isozyme",PPP2CA,PPP2CA,\N,P67775,1,live
273,263,5728,phosphatase and tensin homolog,phosphatase and tensin homolog,PTEN,PTEN,\N,P60484,1,live,263,5728,phosphatase and tensin homolog,phosphatase and tensin homolog,PTEN,PTEN,\N,P60484,1,live
274,265,5770,"protein tyrosine phosphatase, non-receptor type 1","protein tyrosine phosphatase, non-receptor type 1",PTPN1,PTPN1,\N,P18031,1,live,265,5770,"protein tyrosine phosphatase, non-receptor type 1","protein tyrosine phosphatase, non-receptor type 1",PTPN1,PTPN1,\N,P18031,1,live
275,270,5781,"protein tyrosine phosphatase, non-receptor type 11","protein tyrosine phosphatase, non-receptor type 11",PTPN11,PTPN11,\N,Q06124,1,live,270,5781,"protein tyrosine phosphatase, non-receptor type 11","protein tyrosine phosphatase, non-receptor type 11",PTPN11,PTPN11,\N,Q06124,1,live
276,271,5782,"protein tyrosine phosphatase, non-receptor type 12","protein tyrosine phosphatase, non-receptor type 12",PTPN12,PTPN12,\N,Q05209,1,live,271,5782,"protein tyrosine phosphatase, non-receptor type 12","protein tyrosine phosphatase, non-receptor type 12",PTPN12,PTPN12,\N,Q05209,1,live
277,272,5783,"protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)","protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)",PTPN13,PTPN13,\N,Q12923,1,live,272,5783,"protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)","protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)",PTPN13,PTPN13,\N,Q12923,1,live
278,273,5784,"protein tyrosine phosphatase, non-receptor type 14","protein tyrosine phosphatase, non-receptor type 14",PTPN14,PTPN14,\N,Q15678,1,live,273,5784,"protein tyrosine phosphatase, non-receptor type 14","protein tyrosine phosphatase, non-receptor type 14",PTPN14,PTPN14,\N,Q15678,1,live
279,266,5771,"protein tyrosine phosphatase, non-receptor type 2","protein tyrosine phosphatase, non-receptor type 2",PTPN2,PTPN2,\N,P17706,1,live,257,5571,"protein kinase, AMP-activated, gamma 1 non-catalytic subunit","protein kinase, AMP-activated, gamma 1 non-catalytic subunit",PRKAG1,PRKAG1,\N,P54619,1,live
280,267,5775,"protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte)","protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte)",PTPN4,PTPN4,\N,P29074,1,live,267,5775,"protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte)","protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte)",PTPN4,PTPN4,\N,P29074,1,live
281,268,5777,"protein tyrosine phosphatase, non-receptor type 6","protein tyrosine phosphatase, non-receptor type 6",PTPN6,PTPN6,\N,P29350,1,live,268,5777,"protein tyrosine phosphatase, non-receptor type 6","protein tyrosine phosphatase, non-receptor type 6",PTPN6,PTPN6,\N,P29350,1,live
282,269,5780,"protein tyrosine phosphatase, non-receptor type 9","protein tyrosine phosphatase, non-receptor type 9",PTPN9,PTPN9,\N,P43378,1,live,269,5780,"protein tyrosine phosphatase, non-receptor type 9","protein tyrosine phosphatase, non-receptor type 9",PTPN9,PTPN9,\N,P43378,1,live
283,274,5787,"protein tyrosine phosphatase, receptor type, B","protein tyrosine phosphatase, receptor type, B",PTPRB,PTPRB,\N,P23467,1,live,274,5787,"protein tyrosine phosphatase, receptor type, B","protein tyrosine phosphatase, receptor type, B",PTPRB,PTPRB,\N,P23467,1,live
284,275,5788,"protein tyrosine phosphatase, receptor type, C","protein tyrosine phosphatase, receptor type, C",PTPRC,PTPRC,\N,P08575,1,live,275,5788,"protein tyrosine phosphatase, receptor type, C","protein tyrosine phosphatase, receptor type, C",PTPRC,PTPRC,\N,P08575,1,live
285,276,5792,"protein tyrosine phosphatase, receptor type, F","protein tyrosine phosphatase, receptor type, F",PTPRF,PTPRF,\N,P10586,1,live,276,5792,"protein tyrosine phosphatase, receptor type, F","protein tyrosine phosphatase, receptor type, F",PTPRF,PTPRF,\N,P10586,1,live
286,277,5797,"protein tyrosine phosphatase, receptor type, M","protein tyrosine phosphatase, receptor type, M",PTPRM,PTPRM,\N,P28827,1,live,277,5797,"protein tyrosine phosphatase, receptor type, M","protein tyrosine phosphatase, receptor type, M",PTPRM,PTPRM,\N,P28827,1,live
287,278,5894,"Raf-1 proto-oncogene, serine/threonine kinase","Raf-1 proto-oncogene, serine/threonine kinase",RAF1,RAF1,\N,P04049,1,live,278,5894,"Raf-1 proto-oncogene, serine/threonine kinase","Raf-1 proto-oncogene, serine/threonine kinase",RAF1,RAF1,\N,P04049,1,live
288,283,6093,"Rho-associated, coiled-coil containing protein kinase 1","Rho-associated, coiled-coil containing protein kinase 1",ROCK1,ROCK1,\N,Q13464,1,live,283,6093,"Rho-associated, coiled-coil containing protein kinase 1","Rho-associated, coiled-coil containing protein kinase 1",ROCK1,ROCK1,\N,Q13464,1,live
289,295,6446,serum/glucocorticoid regulated kinase 1,serum/glucocorticoid regulated kinase 1,SGK1,SGK1,\N,O00141,1,live,295,6446,serum/glucocorticoid regulated kinase 1,serum/glucocorticoid regulated kinase 1,SGK1,SGK1,\N,O00141,1,live
290,377,23411,sirtuin 1,sirtuin 1,SIRT1,SIRT1,\N,Q96EB6,1,live,377,23411,sirtuin 1,sirtuin 1,SIRT1,SIRT1,\N,Q96EB6,1,live
291,374,22933,sirtuin 2,sirtuin 2,SIRT2,SIRT2,\N,Q8IXJ6,1,live,374,22933,sirtuin 2,sirtuin 2,SIRT2,SIRT2,\N,Q8IXJ6,1,live
292,376,23410,sirtuin 3,sirtuin 3,SIRT3,SIRT3,\N,Q9NTG7,1,live,376,23410,sirtuin 3,sirtuin 3,SIRT3,SIRT3,\N,Q9NTG7,1,live
293,303,6714,"SRC proto-oncogene, non-receptor tyrosine kinase","SRC proto-oncogene, non-receptor tyrosine kinase",SRC,SRC,\N,P12931,1,live,303,6714,"SRC proto-oncogene, non-receptor tyrosine kinase","SRC proto-oncogene, non-receptor tyrosine kinase",SRC,SRC,\N,P12931,1,live
294,308,6850,spleen tyrosine kinase,spleen tyrosine kinase,SYK,SYK,\N,P43405,1,live,308,6850,spleen tyrosine kinase,spleen tyrosine kinase,SYK,SYK,\N,P43405,1,live
295,313,7010,"TEK tyrosine kinase, endothelial","TEK tyrosine kinase, endothelial",TEK,TEK,\N,Q02763,1,live,313,7010,"TEK tyrosine kinase, endothelial","TEK tyrosine kinase, endothelial",TEK,TEK,\N,Q02763,1,live
296,222,4914,"neurotrophic tyrosine kinase, receptor, type 1","neurotrophic tyrosine kinase, receptor, type 1",NTRK1,NTRK1,\N,P04629,1,live,222,4914,"neurotrophic tyrosine kinase, receptor, type 1","neurotrophic tyrosine kinase, receptor, type 1",NTRK1,NTRK1,\N,P04629,1,live
297,131,2321,fms-related tyrosine kinase 1,fms-related tyrosine kinase 1,FLT1,FLT1,\N,P17948,1,live,131,2321,fms-related tyrosine kinase 1,fms-related tyrosine kinase 1,FLT1,FLT1,\N,P17948,1,live
298,132,2324,fms-related tyrosine kinase 4,fms-related tyrosine kinase 4,FLT4,FLT4,\N,P35916,1,live,132,2324,fms-related tyrosine kinase 4,fms-related tyrosine kinase 4,FLT4,FLT4,\N,P35916,1,live
299,338,7535,zeta-chain (TCR) associated protein kinase 70kDa,zeta-chain (TCR) associated protein kinase 70kDa,ZAP70,ZAP70,\N,P43403,1,live,338,7535,zeta-chain (TCR) associated protein kinase 70kDa,zeta-chain (TCR) associated protein kinase 70kDa,ZAP70,ZAP70,\N,P43403,1,live
300,461,443551,\N,prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase),\N,PTGS1,provisional,P05979,6,live,461,443551,\N,prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase),\N,PTGS1,provisional,P05979,6,live
301,460,443460,\N,prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase),\N,PTGS2,provisional,P79208,6,live,460,443460,\N,prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase),\N,PTGS2,provisional,P79208,6,live
302,456,397180,\N,methylenetetrahydrofolate reductase (NAD(P)H),\N,MTHFR,model,\N,5,live,456,397180,\N,methylenetetrahydrofolate reductase (NAD(P)H),\N,MTHFR,model,\N,5,live
303,467,100009085,\N,"creatine kinase, brain",\N,CKB,provisional,P00567,9,live,467,100009085,\N,"creatine kinase, brain",\N,CKB,provisional,P00567,9,live
304,433,64532,adenylate cyclase 5,adenylate cyclase 5,Adcy5,Adcy5,\N,Q04400,3,live,433,64532,adenylate cyclase 5,adenylate cyclase 5,Adcy5,Adcy5,\N,Q04400,3,live
305,441,83817,\N,acetylcholinesterase,\N,Ache,provisional,P37136,3,live,441,83817,\N,acetylcholinesterase,\N,Ache,provisional,P37136,3,live
306,392,24598,"nitric oxide synthase 1, neuronal","nitric oxide synthase 1, neuronal",Nos1,Nos1,\N,P29476,3,live,392,24598,"nitric oxide synthase 1, neuronal","nitric oxide synthase 1, neuronal",Nos1,Nos1,\N,P29476,3,live
307,383,24267,catechol-O-methyltransferase,catechol-O-methyltransferase,Comt,Comt,\N,P22734,3,live,383,24267,catechol-O-methyltransferase,catechol-O-methyltransferase,Comt,Comt,\N,P22734,3,live
308,103,1859,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A,DYRK1A,DYRK1A,\N,Q13627,1,live,103,1859,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A,DYRK1A,DYRK1A,\N,Q13627,1,live
309,417,29253,monoamine oxidase A,monoamine oxidase A,Maoa,Maoa,\N,P21396,3,live,417,29253,monoamine oxidase A,monoamine oxidase A,Maoa,Maoa,\N,P21396,3,live
310,415,25750,monoamine oxidase B,monoamine oxidase B,Maob,Maob,\N,P19643,3,live,415,25750,monoamine oxidase B,monoamine oxidase B,Maob,Maob,\N,P19643,3,live
311,451,282133,adenosine A1 receptor,adenosine A1 receptor,ADORA1,ADORA1,\N,P28190,4,live,451,282133,adenosine A1 receptor,adenosine A1 receptor,ADORA1,ADORA1,\N,P28190,4,live
312,458,407157,"angiotensin II receptor, type 2","angiotensin II receptor, type 2",AGTR2,AGTR2,\N,\N,4,live,458,407157,"angiotensin II receptor, type 2","angiotensin II receptor, type 2",AGTR2,AGTR2,\N,\N,4,live
313,449,281125,dopamine receptor D1,dopamine receptor D1,DRD1,DRD1,\N,Q95136,4,live,449,281125,dopamine receptor D1,dopamine receptor D1,DRD1,DRD1,\N,Q95136,4,live
314,450,281231,histamine receptor H1,histamine receptor H1,HRH1,HRH1,\N,P30546,4,live,450,281231,histamine receptor H1,histamine receptor H1,HRH1,HRH1,\N,P30546,4,live
315,462,504216,neuropeptide Y,neuropeptide Y,NPY,NPY,\N,Q6RUW3,4,live,462,504216,neuropeptide Y,neuropeptide Y,NPY,NPY,\N,Q6RUW3,4,live
316,471,100135548,\N,5 hydroxytryptamine (serotonin) receptor 4,\N,Htr4,provisional,O70528,10,live,471,100135548,\N,5 hydroxytryptamine (serotonin) receptor 4,\N,Htr4,provisional,O70528,10,live
317,472,100135578,\N,natriuretic peptide A,\N,Nppa,model,P27596,10,live,472,100135578,\N,natriuretic peptide A,\N,Nppa,model,P27596,10,live
318,468,100135486,\N,"bradykinin receptor, beta 2",\N,Bdkrb2,provisional,O70526,10,live,468,100135486,\N,"bradykinin receptor, beta 2",\N,Bdkrb2,provisional,O70526,10,live
319,470,100135540,\N,histamine receptor H2,\N,Hrh2,\N,P47747,10,live,470,100135540,\N,histamine receptor H2,\N,Hrh2,\N,P47747,10,live
320,477,100379538,\N,leukotriene B4 receptor,\N,Ltb4r,provisional,\N,10,live,477,100379538,\N,leukotriene B4 receptor,\N,Ltb4r,provisional,\N,10,live
321,469,100135514,\N,cysteinyl leukotriene receptor 1,\N,Cysltr1,provisional,Q2NNR5,10,live,469,100135514,\N,cysteinyl leukotriene receptor 1,\N,Cysltr1,provisional,Q2NNR5,10,live
322,476,100379235,\N,"cholinergic receptor, muscarinic 3, cardiac",\N,Chrm3,provisional,\N,10,live,476,100379235,\N,"cholinergic receptor, muscarinic 3, cardiac",\N,Chrm3,provisional,\N,10,live
323,473,100135587,\N,"opioid receptor, kappa 1",\N,Oprk1,provisional,P41144,10,live,473,100135587,\N,"opioid receptor, kappa 1",\N,Oprk1,provisional,P41144,10,live
324,164,3356,"5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled","5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled",HTR2A,HTR2A,\N,P28223,1,live,164,3356,"5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled","5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled",HTR2A,HTR2A,\N,P28223,1,live
325,167,3361,"5-hydroxytryptamine (serotonin) receptor 5A, G protein-coupled","5-hydroxytryptamine (serotonin) receptor 5A, G protein-coupled",HTR5A,HTR5A,\N,P47898,1,live,167,3361,"5-hydroxytryptamine (serotonin) receptor 5A, G protein-coupled","5-hydroxytryptamine (serotonin) receptor 5A, G protein-coupled",HTR5A,HTR5A,\N,P47898,1,live
326,168,3362,"5-hydroxytryptamine (serotonin) receptor 6, G protein-coupled","5-hydroxytryptamine (serotonin) receptor 6, G protein-coupled",HTR6,HTR6,\N,P50406,1,live,168,3362,"5-hydroxytryptamine (serotonin) receptor 6, G protein-coupled","5-hydroxytryptamine (serotonin) receptor 6, G protein-coupled",HTR6,HTR6,\N,P50406,1,live
327,169,3363,"5-hydroxytryptamine (serotonin) receptor 7, adenylate cyclase-coupled","5-hydroxytryptamine (serotonin) receptor 7, adenylate cyclase-coupled",HTR7,HTR7,\N,P34969,1,live,169,3363,"5-hydroxytryptamine (serotonin) receptor 7, adenylate cyclase-coupled","5-hydroxytryptamine (serotonin) receptor 7, adenylate cyclase-coupled",HTR7,HTR7,\N,P34969,1,live
328,10,134,adenosine A1 receptor,adenosine A1 receptor,ADORA1,ADORA1,\N,P30542,1,live,10,134,adenosine A1 receptor,adenosine A1 receptor,ADORA1,ADORA1,\N,P30542,1,live
329,11,135,adenosine A2a receptor,adenosine A2a receptor,ADORA2A,ADORA2A,\N,P29274,1,live,11,135,adenosine A2a receptor,adenosine A2a receptor,ADORA2A,ADORA2A,\N,P29274,1,live
330,13,150,adrenoceptor alpha 2A,adrenoceptor alpha 2A,ADRA2A,ADRA2A,\N,P08913,1,live,13,150,adrenoceptor alpha 2A,adrenoceptor alpha 2A,ADRA2A,ADRA2A,\N,P08913,1,live
331,14,152,adrenoceptor alpha 2C,adrenoceptor alpha 2C,ADRA2C,ADRA2C,\N,P18825,1,live,14,152,adrenoceptor alpha 2C,adrenoceptor alpha 2C,ADRA2C,ADRA2C,\N,P18825,1,live
